	P1-1	P1-2	P1-3	P1-4	P1-5	P1-6	P1-7	P1-8	P1-9	P1-10
E7EX29	4.430704261911278	10.271217129937401	10.338427985787906	24.535359082934825	3.254806887932062	1.791027660427053	1.659408117319118	17.557276533803456	16.89051768269259	3.2178684287082446
P62191	1.7779492183675984	1.1421701527652188	2.897914707840888	4.724803895960846	3.662938043212578	0.7766296731076916	5.961957599318573	20.633066717810138	38.88716152761935	9.205809929481662
Q99460	7.52610885450829	10.57586760855996	2.3519210681662663	0.6551071205251542	2.2563413284125406	0.2951104098845446	14.046481158107666	14.541504450438284	21.302522125767606	19.414990433589395
P52209	12.076648404068342	2.74962410409461	1.9611539309058221	10.402684068927456	2.840112135764317	16.905548381362703	15.49935094095092	1.3628894548547856	7.319206905149465	3.4990127372843607
P08253	15.836324286329795	2.200998302234475	0.77193097995364	1.7641707625197376	3.128634781347092	4.184371193636035	10.423649007244437	3.3472988538841912	44.29934581723283	4.266620540069377
P27338	1.364721769424671	5.2901055195730065	4.139949202824651	0.1173189470422034	1.529676908281209	18.99562118395292	30.674379964872145	35.77190005882465	6.445543623404211	18.426674567915505
P15144	1.1385144522481812	11.599270773844657	2.308255294397553	1.5030530120867533	10.794393027315465	4.19868762106449	14.964163233445168	10.190182156702571	50.393647033753595	6.365289890070362
P05067	0.957014899034817	2.059063788003289	3.610985109838289	0.9342531420509661	1.9723635784741658	1.5097117471263561	45.518525657359696	16.1045497509052	8.967208470230375	21.82045337793
Q9UJX5	8.645088588284999	4.4346305894121665	1.639298186098106	0.745067153470613	4.8820793477060676	21.749885475351533	12.16607437961824	16.501936959689797	20.813843985216156	36.94228940010272
Q8N302	17.87247377380711	26.683496108409457	2.0492512296588683	6.358687337660372	11.492868129297749	35.98756259592689	4.887210476381022	14.798499966352946	8.121092011900556	6.960597030031695
P03950	10.296032576999	17.729474793396037	1.4009991581987502	1.1436041410184126	5.919457914144253	22.266517003034863	1.7438086405170083	24.506910643857978	4.361005331484176	30.83270119661588
Q9Y5C1	3.918112404096566	2.703493489424593	1.0004002256359237	1.658852954484692	2.2262557603328985	5.483488723964776	10.134680475143576	3.174824071913846	9.683422283016002	34.27539749414198
