	P2-1_Rep1	P2-1_Rep2	P2-2_Rep1	P2-2_Rep2	P2-3_Rep1	P2-3_Rep2	P2-4_Rep1	P2-4_Rep2	P2-5_Rep1	P2-5_Rep2	P2-6_Rep1	P2-6_Rep2	P2-7_Rep1	P2-7_Rep2	P2-8_Rep1	P2-8_Rep2	P2-9_Rep1	P2-9_Rep2	P2-10_Rep1	P2-10_Rep2
E7EX29	7.358434690385207	1.0527156712523686	5.554308702569315	7.3497556269733595	5.003392380424847	1.2568969883228651	6.9509691336129915	0.759781959606217	3.8088516529390413	1.4834037664215942	15.847704353504929	3.917352394949914	6.1155766259001725	30.21035578094741	25.472722280619013	54.907217993718284	27.350352713184666	25.557550943339105	7.3605767264567366	10.344125219871762
P62191	1.7902674876104938	0.5812769006329672	0.7833200336025559	4.563809497318383	0.6298776925463669	0.39953194986588814	1.2987674160180385	0.29881737123683355	3.2846823629036153	3.486216664992643	12.99897228860194	51.14838768818353	27.96906622773169	20.3651962131876	52.584836969469414	7.158837655196517	3.0721131909521175	65.62559228295719	2.635762740181495	7.435844070968955
Q99460	0.08607484790275619	2.077292596624871	0.478749020192411	9.9341034495644	0.15094209215768295	2.4789171537160772	0.6450871127390794	0.6271610674997294	0.3386331591731323	2.4719527537705783	4.31168235529338	4.349682758043932	8.923083872203225	1.1206825018885487	29.659996583452383	21.416566418865305	68.81121418020925	25.08322989315128	25.68310997390912	30.549505026720002
P52209	3.8200210136442987	3.4874973527749447	2.5966779340727286	1.6662715646622814	0.049314129798669934	3.2587754502968496	0.35195160939683506	1.8824293697771775	2.65613451729314	0.3914012558723028	40.6629318747751	72.99997615783766	12.047012805744416	27.030926204263125	8.623769577580216	14.855893963891834	22.429112566328286	11.460518323446186	4.292966631731282	9.167372396272707
P08253	2.9958290823407703	2.2724234412160476	6.858392634635744	1.3121264035542264	11.507128275571382	0.14462090146977508	0.2677429152206145	1.408680576970359	0.02078377410854916	6.95324875989489	32.445574631407894	17.808114104419293	16.544789433640126	25.69900627142726	16.470060241021773	17.91564216920368	25.022914644065214	1.7920936286260019	5.053359522524545	35.59836990268445
P27338	4.379666711503326	3.0624117424490995	2.6787522773360872	9.317579903706367	0.04359546785430836	11.2509539760994	2.5410307935976073	0.23411759837155388	1.7799965328510965	0.8906751076435847	20.3176769168184	1.649240910581673	35.81161472140283	20.202466986690393	29.02795489305287	13.463957411701825	3.7498090159383546	2.6417229444439934	4.047887687201278	42.939024485067755
P15144	1.9144944426394406	0.8552218972178773	6.960313270364111	0.026340051855779013	9.96276625533406	8.283349667361854	1.65505808840463	2.576655726205627	5.835995288174384	1.6766309154819123	13.051109770174586	28.003633973085012	15.564181742573831	5.8285090981424466	0.17879644876409878	6.87326958370123	49.638360052206465	14.721384795988149	10.324611508045296	32.97605011875811
P05067	1.7398129632209136	1.2548908381586783	3.0895295962836173	2.564769174607923	0.5349027494943291	1.95700819705098	6.751305630831379	0.9517552213103952	1.530194199777093	4.691078313316909	23.258830287225727	6.395011704296008	125.4377968546996	68.36414413931496	0.8411759512719514	1.8042818261832791	0.18545508448741588	10.742546268456989	10.700681050265224	36.56855733380361
Q9UJX5	0.8160354900871889	3.7084262804751837	1.1403885804316707	0.5574522200333123	6.2223029792217535	4.9903904710351785	3.5412175463016506	0.4669846663910151	1.4388259818329723	1.2288699425155685	13.020220876276722	44.76895852734134	61.09922493810319	1.2272937763646101	11.608847423602711	26.39302653538696	1.8235157276472795	24.160945126891797	49.72048392128197	56.57677307274442
Q8N302	16.333961573763478	1.3868667521054643	3.3339429958727806	2.398076236558619	2.709137791122709	2.308112851622457	5.353631435126001	3.3678071496081667	0.7578788802706808	3.9512116887448174	36.31130362574772	50.40027757596415	35.58448460540674	16.094997496136696	11.23887080437848	3.6712019853533087	26.8503152070471	30.650942016186622	11.6532013818807	61.17480053888322
P03950	4.6419115331224745	1.4733270301545058	0.2779380670789029	0.4191856999204738	4.778096300143036	2.0409887114015595	0.7830280505873519	1.138467357075799	2.3312166896275017	1.100203543344013	1.793697058226776	16.615953417038227	3.020931420725521	6.404114575646458	1.873702385899521	5.800526425466048	10.087286711057175	8.615418795168667	3.6482767604086823	21.227713932035616
Q9Y5C1	1.9732905703556438	0.04798672602193176	1.4399228078110355	2.225152918160386	19.540655718761062	0.5507282907933351	0.8917467152644696	2.709503000044906	2.852578198794823	2.0646350177761015	7.976845787585513	8.943887068005733	34.16385139263742	47.69578141874578	5.176916672737508	8.727364400514093	11.869795467867768	49.318012150809686	25.60517177038271	4.902171195851643
